Asin(ax)	Bsin(bx)	Asin_Bsin
-0.17	-2.36	-2.54
-0.43	-2.33	-2.76
0.32	-2.30	-1.98
0.32	-2.26	-1.94
-0.43	-2.23	-2.66
-0.17	-2.19	-2.37
0.49	-2.16	-1.67
0.00	-2.12	-2.12
-0.49	-2.08	-2.58
0.17	-2.05	-1.87
0.43	-2.01	-1.57
-0.32	-1.97	-2.29
-0.32	-1.93	-2.25
0.43	-1.89	-1.45
0.17	-1.85	-1.68
-0.49	-1.81	-2.30
-0.00	-1.76	-1.76
0.49	-1.72	-1.23
-0.17	-1.68	-1.85
-0.43	-1.63	-2.07
0.32	-1.59	-1.27
0.32	-1.55	-1.22
-0.43	-1.50	-1.93
-0.17	-1.45	-1.63
0.49	-1.41	-0.92
0.00	-1.36	-1.36
-0.49	-1.32	-1.81
0.17	-1.27	-1.10
0.43	-1.22	-0.79
-0.32	-1.17	-1.49
-0.32	-1.12	-1.45
0.43	-1.08	-0.64
0.17	-1.03	-0.86
-0.49	-0.98	-1.47
-0.00	-0.93	-0.93
0.49	-0.88	-0.38
-0.17	-0.83	-1.00
-0.43	-0.78	-1.21
0.32	-0.73	-0.40
0.32	-0.67	-0.35
-0.43	-0.62	-1.06
-0.17	-0.57	-0.74
0.49	-0.52	-0.03
0.00	-0.47	-0.47
-0.49	-0.42	-0.91
0.17	-0.37	-0.19
0.43	-0.31	0.12
-0.32	-0.26	-0.58
-0.32	-0.21	-0.53
0.43	-0.16	0.28
0.17	-0.10	0.07
-0.49	-0.05	-0.54
0.00	-0.00	0.00
0.49	0.05	0.54
-0.17	0.10	-0.07
-0.43	0.16	-0.28
0.32	0.21	0.53
0.32	0.26	0.58
-0.43	0.31	-0.12
-0.17	0.37	0.19
0.49	0.42	0.91
0.00	0.47	0.47
-0.49	0.52	0.03
0.17	0.57	0.74
0.43	0.62	1.06
-0.32	0.67	0.35
-0.32	0.73	0.40
0.43	0.78	1.21
0.17	0.83	1.00
-0.49	0.88	0.38
0.00	0.93	0.93
0.49	0.98	1.47
-0.17	1.03	0.86
-0.43	1.08	0.64
0.32	1.12	1.45
0.32	1.17	1.49
-0.43	1.22	0.79
-0.17	1.27	1.10
0.49	1.32	1.81
-0.00	1.36	1.36
-0.49	1.41	0.92
0.17	1.45	1.63
0.43	1.50	1.93
-0.32	1.55	1.22
-0.32	1.59	1.27
0.43	1.63	2.07
0.17	1.68	1.85
-0.49	1.72	1.23
0.00	1.76	1.76
0.49	1.81	2.30
-0.17	1.85	1.68
-0.43	1.89	1.45
0.32	1.93	2.25
0.32	1.97	2.29
-0.43	2.01	1.57
-0.17	2.05	1.87
0.49	2.08	2.58
0.00	2.12	2.12
-0.49	2.16	1.67
0.17	2.19	2.37
0.43	2.23	2.66
-0.32	2.26	1.94
-0.32	2.30	1.98
0.43	2.33	2.76
0.17	2.36	2.54
-0.49	2.40	1.90
-0.00	2.43	2.43
0.49	2.46	2.95
-0.17	2.49	2.32
-0.43	2.52	2.08
0.32	2.54	2.87
0.32	2.57	2.89
-0.43	2.60	2.17
-0.17	2.62	2.45
0.49	2.65	3.14
0.00	2.67	2.67
-0.49	2.70	2.20
0.17	2.72	2.89
0.43	2.74	3.17
-0.32	2.76	2.44
-0.32	2.78	2.46
0.43	2.80	3.23
0.17	2.82	2.99
-0.49	2.84	2.34
-0.00	2.85	2.85
0.49	2.87	3.36
-0.17	2.88	2.71
-0.43	2.90	2.46
0.32	2.91	3.23
0.32	2.92	3.24
-0.43	2.93	2.50
-0.17	2.94	2.77
0.49	2.95	3.45
0.00	2.96	2.96
-0.49	2.97	2.48
0.17	2.98	3.15
0.43	2.98	3.42
-0.32	2.99	2.67
-0.32	2.99	2.67
0.43	3.00	3.43
0.17	3.00	3.17
-0.49	3.00	2.51
-0.00	3.00	3.00
0.49	3.00	3.49
-0.17	3.00	2.83
-0.43	3.00	2.56
0.32	2.99	3.31
0.32	2.99	3.31
-0.43	2.98	2.55
-0.17	2.98	2.81
0.49	2.97	3.46
0.00	2.96	2.96
-0.49	2.95	2.46
0.17	2.94	3.12
0.43	2.93	3.37
-0.32	2.92	2.60
-0.32	2.91	2.59
0.43	2.90	3.33
0.17	2.88	3.05
-0.49	2.87	2.38
-0.00	2.85	2.85
0.49	2.84	3.33
-0.17	2.82	2.65
-0.43	2.80	2.37
0.32	2.78	3.10
0.32	2.76	3.08
-0.43	2.74	2.31
-0.17	2.72	2.55
0.49	2.70	3.19
-0.00	2.67	2.67
-0.49	2.65	2.16
0.17	2.62	2.79
0.43	2.60	3.03
-0.32	2.57	2.25
-0.32	2.54	2.22
0.43	2.52	2.95
0.17	2.49	2.66
-0.49	2.46	1.97
-0.00	2.43	2.43
0.49	2.40	2.89
-0.17	2.36	2.19
-0.43	2.33	1.90
0.32	2.30	2.62
0.32	2.26	2.59
-0.43	2.23	1.80
-0.17	2.19	2.02
0.49	2.16	2.65
-0.00	2.12	2.12
-0.49	2.08	1.59
0.17	2.05	2.22
0.43	2.01	2.44
-0.32	1.97	1.65
-0.32	1.93	1.61
0.43	1.89	2.32
0.17	1.85	2.02
-0.49	1.81	1.31
-0.00	1.76	1.76
0.49	1.72	2.21
-0.17	1.68	1.51
-0.43	1.63	1.20
0.32	1.59	1.91
0.32	1.55	1.87
-0.43	1.50	1.07
-0.17	1.45	1.28
0.49	1.41	1.90
0.00	1.36	1.36
-0.49	1.32	0.82
0.17	1.27	1.44
0.43	1.22	1.65
-0.32	1.17	0.85
-0.32	1.12	0.80
0.43	1.08	1.51
0.17	1.03	1.20
-0.49	0.98	0.48
-0.00	0.93	0.93
0.49	0.88	1.37
-0.17	0.83	0.66
-0.43	0.78	0.34
0.32	0.73	1.05
0.32	0.67	1.00
-0.43	0.62	0.19
-0.17	0.57	0.40
0.49	0.52	1.01
0.00	0.47	0.47
-0.49	0.42	-0.07
0.17	0.37	0.54
0.43	0.31	0.75
-0.32	0.26	-0.06
-0.32	0.21	-0.11
0.43	0.16	0.59
0.17	0.10	0.28
-0.49	0.05	-0.44
-0.00	0.00	-0.00
0.49	-0.05	0.44
-0.17	-0.10	-0.28
-0.43	-0.16	-0.59
0.32	-0.21	0.11
0.32	-0.26	0.06
-0.43	-0.31	-0.75
-0.17	-0.37	-0.54
0.49	-0.42	0.07
0.00	-0.47	-0.47
-0.49	-0.52	-1.01
0.17	-0.57	-0.40
0.43	-0.62	-0.19
-0.32	-0.67	-1.00
-0.32	-0.73	-1.05
0.43	-0.78	-0.34
0.17	-0.83	-0.66
-0.49	-0.88	-1.37
-0.00	-0.93	-0.93
0.49	-0.98	-0.48
-0.17	-1.03	-1.20
-0.43	-1.08	-1.51
0.32	-1.12	-0.80
0.32	-1.17	-0.85
-0.43	-1.22	-1.65
-0.17	-1.27	-1.44
0.49	-1.32	-0.82
0.00	-1.36	-1.36
-0.49	-1.41	-1.90
0.17	-1.45	-1.28
0.43	-1.50	-1.07
-0.32	-1.55	-1.87
-0.32	-1.59	-1.91
0.43	-1.63	-1.20
0.17	-1.68	-1.51
-0.49	-1.72	-2.21
-0.00	-1.76	-1.76
0.49	-1.81	-1.31
-0.17	-1.85	-2.02
-0.43	-1.89	-2.32
0.32	-1.93	-1.61
0.32	-1.97	-1.65
-0.43	-2.01	-2.44
-0.17	-2.05	-2.22
0.49	-2.08	-1.59
-0.00	-2.12	-2.12
-0.49	-2.16	-2.65
0.17	-2.19	-2.02
0.43	-2.23	-1.80
-0.32	-2.26	-2.59
-0.32	-2.30	-2.62
0.43	-2.33	-1.90
0.17	-2.36	-2.19
-0.49	-2.40	-2.89
-0.00	-2.43	-2.43
0.49	-2.46	-1.97
-0.17	-2.49	-2.66
-0.43	-2.52	-2.95
0.32	-2.54	-2.22
0.32	-2.57	-2.25
-0.43	-2.60	-3.03
-0.17	-2.62	-2.79
0.49	-2.65	-2.16
-0.00	-2.67	-2.67
-0.49	-2.70	-3.19
0.17	-2.72	-2.55
0.43	-2.74	-2.31
-0.32	-2.76	-3.08
-0.32	-2.78	-3.10
0.43	-2.80	-2.37
0.17	-2.82	-2.65
-0.49	-2.84	-3.33
-0.00	-2.85	-2.85
0.49	-2.87	-2.38
-0.17	-2.88	-3.05
-0.43	-2.90	-3.33
0.32	-2.91	-2.59
0.32	-2.92	-2.60
-0.43	-2.93	-3.37
-0.17	-2.94	-3.12
0.49	-2.95	-2.46
-0.00	-2.96	-2.96
-0.49	-2.97	-3.46
0.17	-2.98	-2.81
0.43	-2.98	-2.55
-0.32	-2.99	-3.31
-0.32	-2.99	-3.31
0.43	-3.00	-2.56
0.17	-3.00	-2.83
-0.49	-3.00	-3.49
-0.00	-3.00	-3.00
0.49	-3.00	-2.51
-0.17	-3.00	-3.17
-0.43	-3.00	-3.43
0.32	-2.99	-2.67
0.32	-2.99	-2.67
-0.43	-2.98	-3.42
-0.17	-2.98	-3.15
0.49	-2.97	-2.48
0.00	-2.96	-2.96
-0.49	-2.95	-3.45
0.17	-2.94	-2.77
0.43	-2.93	-2.50
-0.32	-2.92	-3.24
-0.32	-2.91	-3.23
0.43	-2.90	-2.46
0.17	-2.88	-2.71
-0.49	-2.87	-3.36
-0.00	-2.85	-2.85
0.49	-2.84	-2.34
-0.17	-2.82	-2.99
-0.43	-2.80	-3.23
0.32	-2.78	-2.46
0.32	-2.76	-2.44
-0.43	-2.74	-3.17
-0.17	-2.72	-2.89
0.49	-2.70	-2.20
-0.00	-2.67	-2.67
-0.49	-2.65	-3.14
0.17	-2.62	-2.45
0.43	-2.60	-2.17
-0.32	-2.57	-2.89
-0.32	-2.54	-2.87
0.43	-2.52	-2.08
0.17	-2.49	-2.32
-0.49	-2.46	-2.95
-0.00	-2.43	-2.43
0.49	-2.40	-1.90
-0.17	-2.36	-2.54
-0.43	-2.33	-2.76
0.32	-2.30	-1.98
0.32	-2.26	-1.94
-0.43	-2.23	-2.66
-0.17	-2.19	-2.37
0.49	-2.16	-1.67
0.00	-2.12	-2.12
-0.49	-2.08	-2.58
0.17	-2.05	-1.87
0.43	-2.01	-1.57
-0.32	-1.97	-2.29
-0.32	-1.93	-2.25
0.43	-1.89	-1.45
0.17	-1.85	-1.68
-0.49	-1.81	-2.30
-0.00	-1.76	-1.76
0.49	-1.72	-1.23
-0.17	-1.68	-1.85
-0.43	-1.63	-2.07
0.32	-1.59	-1.27
0.32	-1.55	-1.22
-0.43	-1.50	-1.93
-0.17	-1.45	-1.63
0.49	-1.41	-0.92
0.00	-1.36	-1.36
-0.49	-1.32	-1.81
0.17	-1.27	-1.10
0.43	-1.22	-0.79
-0.32	-1.17	-1.49
-0.32	-1.12	-1.45
0.43	-1.08	-0.64
0.17	-1.03	-0.86
-0.49	-0.98	-1.47
-0.00	-0.93	-0.93
0.49	-0.88	-0.38
-0.17	-0.83	-1.00
-0.43	-0.78	-1.21
0.32	-0.73	-0.40
0.32	-0.67	-0.35
-0.43	-0.62	-1.06
-0.17	-0.57	-0.74
0.49	-0.52	-0.03
0.00	-0.47	-0.47
-0.49	-0.42	-0.91
0.17	-0.37	-0.19
0.43	-0.31	0.12
-0.32	-0.26	-0.58
-0.32	-0.21	-0.53
0.43	-0.16	0.28
0.17	-0.10	0.07
-0.49	-0.05	-0.54
0.00	-0.00	0.00
